dataset_id,tier,f,rep,keff_core,dTail_core,atoms,tail,L3,energy,keff_core_q95,keff_core_q05,dTail_core_q95,dTail_core_q05,atoms_q95,atoms_q05,tail_q95,tail_q05,L3_q95,L3_q05,energy_q95,energy_q05,f_eff,det_energy,det_atoms,det_tail,det_L3,det_keff_core
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,none,0.0,-1,0.99518,0.0,1.11094,0.00152,0.00152,0.44682,0.9971,0.99293,0.00028,-0.00028,1.1159,1.10506,0.00182,0.00121,0.00182,0.00121,0.47286,0.43663,,,,,,
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,0,1.01042,-0.0003,1.14346,0.00127,0.00127,0.42144,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,1,1.00939,-0.00038,1.14195,0.00122,0.00122,0.43297,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,2,1.01094,-0.0005,1.14345,0.00107,0.00107,0.43269,,,,,,,,,,,,,0.05,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,3,1.0111,-0.00025,1.144,0.00133,0.00133,0.42333,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,4,1.01103,-0.00035,1.14459,0.00124,0.00124,0.4312,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,5,1.01172,-0.00032,1.14559,0.00126,0.00126,0.42325,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,6,1.01035,-0.00028,1.1431,0.0013,0.0013,0.42323,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,7,1.01079,-0.00029,1.14452,0.0013,0.0013,0.41492,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,8,1.01072,-0.00035,1.14367,0.00124,0.00124,0.43589,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.05,9,1.01154,-0.00031,1.14503,0.00126,0.00126,0.42649,,,,,,,,,,,,,0.05,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,0,1.02757,-0.00039,1.17855,0.00127,0.00127,0.40007,,,,,,,,,,,,,0.1,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,1,1.029,-0.00076,1.18008,0.0009,0.0009,0.39954,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,2,1.02814,-0.00055,1.17924,0.0011,0.0011,0.40192,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,3,1.02891,-0.0005,1.18079,0.00114,0.00114,0.41803,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,4,1.02621,-0.00071,1.17517,0.00094,0.00094,0.40213,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,5,1.02647,-0.00041,1.17613,0.00123,0.00123,0.42,,,,,,,,,,,,,0.1,False,False,False,False,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,6,1.02908,-0.0007,1.18055,0.00096,0.00096,0.40027,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,7,1.02718,-0.00059,1.1774,0.00106,0.00106,0.40353,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,8,1.02906,-0.00076,1.18151,0.00091,0.00091,0.39754,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.1,9,1.02723,-0.0007,1.17795,0.00098,0.00098,0.4116,,,,,,,,,,,,,0.1,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,0,1.08228,-0.00144,1.28109,0.00042,0.00042,0.36303,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,1,1.08151,-0.00164,1.27848,0.00023,0.00023,0.36115,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,2,1.08261,-0.00156,1.28106,0.00033,0.00033,0.35601,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,3,1.07911,-0.00163,1.27553,0.00027,0.00027,0.36629,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,4,1.07885,-0.00165,1.27457,0.00022,0.00022,0.36709,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,5,1.08265,-0.0016,1.28036,0.00026,0.00026,0.3585,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,6,1.08311,-0.00145,1.28234,0.00043,0.00043,0.35537,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,7,1.08065,-0.00139,1.27793,0.00046,0.00046,0.36987,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,8,1.08441,-0.0014,1.28413,0.00046,0.00046,0.37685,,,,,,,,,,,,,0.25,False,False,True,True,True
archive__real-estate-sales-2001-2023-gl-csv__sale-amount__f692a799,balanced,0.25,9,1.08055,-0.00152,1.2776,0.00034,0.00034,0.36533,,,,,,,,,,,,,0.25,False,False,True,True,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,none,0.0,-1,0.99672,-0.00041,1.1013,0.00088,0.00088,0.45654,0.99875,0.99479,-0.00019,-0.00063,1.10608,1.09619,0.00111,0.00064,0.00111,0.00064,0.47684,0.44217,,,,,,
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,0,1.01229,-0.0006,1.13483,0.00076,0.00076,0.4405,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,1,1.01166,-0.0007,1.13283,0.00065,0.00065,0.42493,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,2,1.01258,-0.00053,1.13523,0.00081,0.00081,0.43474,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,3,1.01174,-0.00062,1.1335,0.00072,0.00072,0.44685,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,4,1.01222,-0.00065,1.13436,0.00069,0.00069,0.42278,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,5,1.01272,-0.00064,1.13583,0.00072,0.00072,0.4306,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,6,1.01242,-0.00066,1.13415,0.00069,0.00069,0.41997,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,7,1.01016,-0.00064,1.13066,0.00071,0.00071,0.4357,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,8,1.01247,-0.00059,1.13502,0.00077,0.00077,0.43932,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.05,9,1.01172,-0.00064,1.13316,0.00073,0.00073,0.43151,,,,,,,,,,,,,0.05,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.1,0,1.02696,-0.00074,1.16418,0.00065,0.00065,0.42332,,,,,,,,,,,,,0.1,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.1,1,1.02911,-0.00093,1.16863,0.00049,0.00049,0.38027,,,,,,,,,,,,,0.1,False,False,True,True,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.1,2,1.02741,-0.00076,1.16577,0.00066,0.00066,0.42247,,,,,,,,,,,,,0.1,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.1,3,1.02749,-0.00085,1.16625,0.00058,0.00058,0.39944,,,,,,,,,,,,,0.1,False,False,True,True,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.1,4,1.0276,-0.00077,1.16722,0.00065,0.00065,0.41901,,,,,,,,,,,,,0.1,False,False,False,False,True
cp-discovery__cook-sale-price-parquet__market-value__fd729316,balanced,0.1,5,1.02513,-0.0008,1.16203,0.00063,0.00063,0.40651,,,,,,,,,,,,,0.1,False,False,True,True,True
